COLUMN,ISIN MATCH COUNT,GICS MATCH COUNT,NAICS MATCH COUNT,DATE MATCH COUNT,CURRENCY MATCH COUNT,UOM COUNT,RECORD COUNT
POSITIONS,0,0,0,0,0,0,100000
UNIQUEID,99821,0,0,0,0,0,100000
IDTYPE,0,0,0,0,0,0,100000
NAME,0,0,0,0,0,0,100000
PORTFOLIO,0,0,0,0,0,0,100000
POSITION UNITS,0,0,0,0,0,0,100000
HAS_LOOKTHROUGH,0,0,0,0,0,0,100000
FUND_NAV,0,0,0,0,0,0,100000
PRICE,0,0,0,0,0,0,100000
CURRENCY,0,0,0,0,0,0,100000
TICKER,0,0,0,0,0,0,100000
Asset Class,0,0,0,0,0,0,100000
sector,0,0,0,0,0,0,100000
geography,0,0,0,0,0,0,100000
esg_Controversy,0,0,0,0,0,0,100000
esg_Environmental,0,0,0,0,0,0,100000
esg_Governance,0,0,0,0,0,0,100000
esg_Social,0,0,0,0,0,0,100000
esg_Sustainability,0,0,0,0,0,0,100000
has_Tobacco,0,0,0,0,0,0,100000
has_Alcohol,0,0,0,0,0,0,100000
has_Gambling,0,0,0,0,0,0,100000
has_Military,0,0,0,0,0,0,100000
has_Fossil Fuels,0,0,0,0,0,0,100000
